Codice;Territorio;Variable;1999;2000;2001;2002;2003
'010;Piemonte;IVG;10,1536942;10,50169826;10,18280862;10,43662003;10,12290835
'020;Valle D'Aosta;IVG;10,99229135;11,38714526;10,44571956;10,54369242;10,74280868
'030;Lombardia;IVG;9,518389184;9,187549962;9,435309024;9,274083479;9,81952386
'070;Liguria;IVG;11,16928143;11,09889334;11,09792179;11,07318832;11,4717141
'040;Trentino Alto Adige;IVG;6,225973223;6,130739004;6,085726868;6,342167908;6,267325539
'021;Bolzano - Bozen;IVG;5,534411041;5,199178984;5,059999027;5,180119525;5,392519089
'022;Trento;IVG;6,916991683;7,095009186;7,31148333;7,280645251;7,100963827
'050;Veneto;IVG;6,251751803;6,122869909;6,210733089;6,560047155;6,312755926
'060;Friuli Venezia Giulia;IVG;7,904817436;7,476023722;7,561507505;7,601139794;7,702051618
'080;Emilia Romagna;IVG;10,7554037;10,65555932;10,50849946;10,78805043;10,57387513
'090;Toscana;IVG;9,706063111;10,15683702;9,421394185;9,228538044;8,995592839
'100;Umbria;IVG;11,23604485;11,64809917;11,81900045;11,79896746;11,00302729
'110;Marche;IVG;7,524959351;7,358458026;7,340831715;7,651129737;7,761663698
'120;Lazio;IVG;11,43951783;10,76088058;10,8160757;11,14946313;10,67840404
'130;Abruzzo;IVG;9,95560339;9,639023039;8,908368462;9,426011944;8,988667823
'140;Molise;IVG;10,82196314;10,25513574;8,478710919;9,341769636;8,13088877
'150;Campania;IVG;9,475209331;8,997964432;8,603858477;9,090098617;
'160;Puglia;IVG;14,40576923;13,86203169;13,57338469;12,75461069;12,19945908
'170;Basilicata;IVG;9,95383824;8,722594551;9,230277758;8,446847834;7,500746984
'180;Calabria;IVG;8,542938198;8,297099455;7,140421685;7,197756978;6,627366846
'190;Sicilia;IVG;8,435440628;7,988701293;7,334274307;7,581022737;7,488053559
'200;Sardegna;IVG;6,314650754;6,225946668;5,941347809;5,783932383;5,774374154
'001;Nord-Ovest;IVG;9,800567134;9,753216894;9,809166577;9,775973624;10,06693365
'002;Nord-Est;IVG;8,060835652;7,915681343;7,90829622;8,192311302;8,010966201
'003;Centro;IVG;10,38696856;10,19692553;10,00784184;10,15047636;9,803961174
'004;Sud;IVG;10,86782647;10,38252453;9,886625364;9,823961315;9,764711993
'005;Isole;IVG;7,893158641;7,539058492;6,980033641;7,124869257;7,054729124
'006;Italia;IVG;9,586578619;9,398266055;9,180432057;9,220522242;9,104858115
