Codice;Territorio;Variable;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008
'010;Piemonte;MORTSTRA;3,899408284;3,877013536;3,320946145;3,284428143;3,531748495;3,182665724;2,994843316;2,716696927;2,677047053;2,5243309
'020;Valle D'Aosta;MORTSTRA;2,808988764;4,838709677;3,579418345;4,635761589;3,87409201;4,066985646;3,430079156;1,526717557;2,747252747;3,322259136
'030;Lombardia;MORTSTRA;2,182818587;2,075362319;1,984427882;1,926921368;1,911899963;1,774734201;1,759763364;1,899378425;1,732008593;1,625744137
'070;Liguria;MORTSTRA;1,432344575;1,534170153;1,663141704;1,449549976;1,307254765;1,285611437;1,113698491;1,170054536;0,91118454;0,922783199
'040;Trentino Alto Adige;MORTSTRA;3,338391502;3,131991051;3,47826087;3,142928411;3,639417693;3,641703377;3,358208955;2,805970149;2,784891165;2,39109073
'021;Bolzano - Bozen;MORTSTRA;3,872679045;4,170616114;4,564705882;4,263959391;3,802497162;3,909952607;4,761904762;3,210048849;4,440789474;3,180473373
'022;Trento;MORTSTRA;2,85161914;1,986408782;2,394366197;2,059833252;3,480662983;3,377984857;2,200104767;2,503912363;1,729559748;1,76366843
'050;Veneto;MORTSTRA;4,31038875;3,449738442;3,180357962;3,133285129;3,700619372;2,931992591;3,019915116;2,871086652;2,927413211;2,73530817
'060;Friuli Venezia Giulia;MORTSTRA;3,297840875;3,240661777;3,493670886;3,441261231;3,343519684;2,885159344;3,33000997;2,803553801;2,469135802;2,305596311
'080;Emilia Romagna;MORTSTRA;3,129335594;2,954380883;2,960993554;2,893077149;2,857790882;2,629952885;2,618556701;2,250521921;2,301291497;2,405261221
'090;Toscana;MORTSTRA;2,20477522;2,119567738;2,232122967;2,189748201;1,903675761;1,877092864;1,712960772;1,694996639;1,593349498;1,57421688
'100;Umbria;MORTSTRA;3,352847259;3,842364532;2,798373595;2,721088435;3,289303289;2,794947595;2,771362587;2,792516057;2,574867058;2,475845411
'110;Marche;MORTSTRA;2,805402998;2,212647025;2,741702742;2,426846261;2,296252231;2,435171778;2,079578539;2,25682988;2,056231641;1,907790143
'120;Lazio;MORTSTRA;2,34019086;2,244145365;2,213541667;2,364211367;1,855512338;1,975181286;1,821080385;1,834481879;1,770773832;1,777537408
'130;Abruzzo;MORTSTRA;3,446115288;3,59052712;3,013993541;3,366696997;2,913356035;2,833031947;2,783547985;3,536977492;2,798024924;2,411454408
'140;Molise;MORTSTRA;2,673492605;3,109656301;3,581800581;3,420752566;5,652759085;4,225352113;5,253623188;5,745062837;3,90625;4,679376083
'150;Campania;MORTSTRA;4,185051477;3,425979541;3,462993501;2,787769784;3,407693659;3,992172211;3,197775461;2,95404814;2,837382515;2,853673345
'160;Puglia;MORTSTRA;7,247627265;4,325965278;4,129424383;3,878787879;4,025750295;4,322629679;3,80952381;3,531036864;3,108016304;2,935795077
'170;Basilicata;MORTSTRA;3,307276007;5,863453815;6,476399561;7,516339869;5,518018018;4,790419162;6,411698538;6,406080347;4,111111111;3,668763103
'180;Calabria;MORTSTRA;4,21079173;4,035771612;3,942570647;3,570669501;3,416289593;3,923019985;4,15710278;4,977132096;3,630175837;3,577817531
'190;Sicilia;MORTSTRA;2,255911795;2,116470817;2,37182403;2,473900664;2,373364074;2,74379208;2,77546489;2,696613392;2,511818246;2,537115773
'200;Sardegna;MORTSTRA;3,897628551;3,784980874;4,204680682;3,67591898;3,534940744;3,192307692;3,261937512;3,57568534;3,347467083;2,835753176
'001;Nord-Ovest;MORTSTRA;2,467694224;2,395956664;2,229062084;2,17522222;2,180408521;2,01827209;1,939308124;1,964430525;1,818260096;1,713853001
'002;Nord-Est;MORTSTRA;3,576060116;3,174116645;3,131573191;3,052222702;3,253530893;2,82632671;2,883016801;2,572347267;2,580749224;2,513387459
'003;Centro;MORTSTRA;2,428720167;2,297717449;2,320277786;2,336497031;2,011139545;2,043372022;1,865648476;1,893317332;1,792658011;1,76680935
'004;Sud;MORTSTRA;4,458624949;3,900870568;3,760141305;3,468708947;3,638302915;3,935341095;3,581518272;3,622227022;3,070243449;2,961226441
'005;Isole;MORTSTRA;2,643391521;2,523318606;2,824139788;2,777120689;2,66279721;2,866459791;2,902415261;2,926651765;2,712554948;2,607304719
'006;Italia;MORTSTRA;2,963934659;2,752332915;2,697073356;2,629972645;2,601567362;2,514271633;2,424055564;2,380692412;2,222453231;2,157898823
