Codice;Territorio;Variable;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009
'010;Piemonte;PILCAP;22612,29355;23382,14135;23549,53622;23412,15444;23249,31659;23359,98341;23330,75883;23691,5886;23816,80625;23246,45115;21697,87434
'020;Valle D'Aosta;PILCAP;27471,77385;26739,04065;27423,28662;27688,21721;28065,64498;28163,27067;27533,41939;27798,37186;28208,25586;28236,22788;26784,08488
'030;Lombardia;PILCAP;26624,44511;27488,01813;27929,02084;28066,98175;27779,41179;27668,09969;27555,17539;27836,02662;27993,83453;27233,37636;25280,96493
'070;Liguria;PILCAP;20216,76413;21277,48275;21924,45299;21570,37934;21467,58698;21457,07914;21261,27875;21459,06933;22046,48765;21848,42984;21076,31171
'040;Trentino Alto Adige;PILCAP;25830,24979;26800,40601;26810,23532;26443,22824;26347,8511;26406,02898;26345,73869;26717,12753;26860,40715;26739,34955;25729,65407
'021;Bolzano - Bozen;PILCAP;26546,08574;27798,06189;27810,58704;27324,61935;27401,88563;27863,65184;27683,48968;28299,7589;28207,88375;28195,70698;27198,80472
'022;Trento;PILCAP;25131,90165;25829,32249;25838,64425;25587,96975;25330,90248;25008,51853;25062,77174;25198,36715;25564,56198;25340,85974;24321,18696
'050;Veneto;PILCAP;23749,26349;24842,54549;24914,1267;24485,99103;24503,74269;24832,35798;24775,11962;25177,2277;25369,05222;24876,72302;23214,04869
'060;Friuli Venezia Giulia;PILCAP;21966,14235;23100,84793;23739,01176;23551,58682;22932,93307;22922,26166;23329,33012;23907,98308;24226,59632;23620,08742;22194,0119
'080;Emilia Romagna;PILCAP;25591,55219;26869,93727;27089,85465;26761,14183;26316,48514;26195,57464;26147,04706;26824,0554;27021,74033;26260,68187;24424,75789
'090;Toscana;PILCAP;22074,99343;22847,53251;23303,14635;23379,41121;23254,41149;23268,5433;23189,02067;23564,8273;23642,70816;23238,40346;22091,387
'100;Umbria;PILCAP;19485,23037;20242,49546;20619,57183;20320,67395;19995,88048;20157,29213;19902,34901;20309,86067;20361,93705;19848,89615;18499,26263
'110;Marche;PILCAP;20243,62986;20919,90972;21297,44214;21580,17249;21253,21131;21312,49492;21367,87959;21944,34457;22111,2132;21702,05601;20511,3882
'120;Lazio;PILCAP;23542,60391;24102,66808;24573,40046;25182,17761;24841,67665;25634,97544;25480,53761;25311,34935;25315,65999;24914,64732;23832,80416
'130;Abruzzo;PILCAP;17013,47351;18022,04058;18352,73656;18270,23398;17846,08569;17297,95087;17507,62227;17879,1737;17991,81936;17633,23846;16329,59997
'140;Molise;PILCAP;14708,03226;15235,6442;15587,14525;15676,65941;15390,86291;15616,39203;15696,25943;16244,31558;16616,28231;16546,32864;15967,48918
'150;Campania;PILCAP;12730,15722;13202,48077;13611,82638;13864,54717;13716,88689;13696,21625;13624,96713;13788,65142;13907,94924;13511,60312;12791,28784
'160;Puglia;PILCAP;13436,99891;13876,37444;14066,11514;14005,39933;13807,68902;13891,94038;13834,63849;14174,95323;14181,24632;13963,57189;13248,36434
'170;Basilicata;PILCAP;14470,90037;14698,55612;14703,58022;14780,99448;14595,70073;14830,81265;14681,81331;15300,79776;15438,98017;15304,93622;14641,80688
'180;Calabria;PILCAP;12636,0002;12921,8096;13438,34604;13442,40028;13598,57234;13913,47511;13688,42369;13946,44709;13971,0093;13510,10925;13195,03541
'190;Sicilia;PILCAP;13009,34081;13381,05437;13899,40003;13928,91983;13867,12915;13797,76964;14103,27897;14255,97237;14317,78038;14041,83395;13646,81714
'200;Sardegna;PILCAP;15518,88845;15883,18432;16203,06556;16128,75133;16409,59581;16488,0261;16434,27519;16477,08423;16807,18992;16548,11707;15913,56156
'001;Nord-Ovest;PILCAP;24806,89038;25660,08657;26054,82616;26071,25011;25851,34174;25821,20599;25722,36642;26021,78009;26222,37958;25582,91971;23872,859
'002;Nord-Est;PILCAP;24422,56686;25579,95321;25765,60498;25407,62894;25172,8712;25274,31638;25273,59871;25796,70252;26001,31413;25430,11789;23788,43207
'003;Centro;PILCAP;22325,5395;22981,88054;23426,15908;23749,4215;23478,99105;23874,55859;23765,07079;23924,03649;23986,45987;23575,31285;22439,53302
'004;Sud;PILCAP;13427,70036;13903,53843;14240,12033;14326,57239;14179,9776;14207,43043;14145,67693;14421,70079;14502,45002;14172,2513;13463,12009
'005;Isole;PILCAP;13629,35774;13999,4302;14468,91559;14473,06141;14496,97218;14464,2776;14681,26895;14807,53662;14937,64561;14666,71611;14212,12398
'006;Italia;PILCAP;20181,13201;20916,9806;21284,17922;21313,41706;21144,35746;21257,66519;21239,46503;21548,93257;21708,57003;21258,78188;20066,80078
