Codice;Territorio;Variable;2004;2005;2006;2007
'010;Piemonte;DELVIOL;224,5945444;220,1823014;231,9381048;240,7102323
'020;Valle D'Aosta;DELVIOL;164,1432701;162,8545733;180,0715463;188,2045209
'030;Lombardia;DELVIOL;178,2950627;190,1814759;209,1306798;217,127018
'070;Liguria;DELVIOL;181,8421009;183,3600161;199,9992542;228,548342
'040;Trentino Alto Adige;DELVIOL;121,6265538;119,4035334;117,0807003;130,871092
'021;Bolzano - Bozen;DELVIOL;124,802098;127,537597;118,3111191;130,4016064
'022;Trento;DELVIOL;118,5784748;111,5973217;115,6999251;131,3227236
'050;Veneto;DELVIOL;148,8411083;150,7692676;148,2358826;159,4229543
'060;Friuli Venezia Giulia;DELVIOL;130,9248597;136,0963715;125,0784839;133,1601129
'080;Emilia Romagna;DELVIOL;195,5575467;209,6433042;209,515813;225,2953442
'090;Toscana;DELVIOL;172,6327896;184,9229601;187,459967;200,2116398
'100;Umbria;DELVIOL;123,6115668;143,0378222;147,2847956;158,3005058
'110;Marche;DELVIOL;142,875711;142,5389053;141,2114625;154,4108578
'120;Lazio;DELVIOL;155,5114786;170,7652663;187,9777583;218,7740997
'130;Abruzzo;DELVIOL;168,5770519;173,0797952;177,2013656;183,7660188
'140;Molise;DELVIOL;142,0026412;133,4660735;132,9212566;126,0703498
'150;Campania;DELVIOL;369,0600821;381,4190346;418,9924356;400,376604
'160;Puglia;DELVIOL;185,3213595;179,7858271;171,9363052;190,7833077
'170;Basilicata;DELVIOL;117,9678035;121,9520389;120,8006587;148,0116955
'180;Calabria;DELVIOL;155,0015097;168,5733527;168,2962033;172,7512813
'190;Sicilia;DELVIOL;177,1105482;188,2896143;209,9247235;232,6969354
'200;Sardegna;DELVIOL;156,5675153;150,8290607;165,9668428;156,1475582
'001;Nord-Ovest;DELVIOL;191,5382976;197,6541206;214,3159103;224,6387442
'002;Nord-Est;DELVIOL;162,0192566;168,5603825;166,0499819;178,8870911
'003;Centro;DELVIOL;156,8528018;169,3601218;178,4451971;199,7832372
'004;Sud;DELVIOL;251,1043374;256,948956;270,4491392;270,4993757
'005;Isole;DELVIOL;172,0276155;179,0039039;199,0082846;213,6617267
'006;Italia;DELVIOL;191,4661048;198,8378769;209,8979532;220,7601905
'010;Piemonte;OMI;0,813916862;0,738015465;0,667083709;0,61685424
'020;Valle D'Aosta;OMI;3,266532739;0;1,607781663;0,797476783
'030;Lombardia;OMI;0,997860073;0,794984433;0,883250897;0,948517048
'070;Liguria;OMI;0,946437027;0,749427859;0,932252583;0,808030581
'040;Trentino Alto Adige;OMI;0,309745044;0,204108604;0,30305617;0,399606388
'021;Bolzano - Bozen;OMI;0;0,416789533;0;0,40750502
'022;Trento;OMI;0,607057038;0;0,59434893;0,39200813
'050;Veneto;OMI;0,663609141;0,805232912;0,862081019;0,645437062
'060;Friuli Venezia Giulia;OMI;1,165256221;0,497307082;0,826145864;0,575028248
'080;Emilia Romagna;OMI;0,826059956;0,67154931;0,737145637;0,635363933
'090;Toscana;OMI;0,97706139;0,803530992;0,826664561;0,492122015
'100;Umbria;OMI;0,703004171;0,694920594;0,57443368;0,796623681
'110;Marche;OMI;0,463023138;0,328128235;0,652548348;0,453197486
'120;Lazio;OMI;1,031015328;0,983474787;0,963133652;1,139825362
'130;Abruzzo;OMI;0,541550878;0,844666259;0,535351558;0,835300085
'140;Molise;OMI;1,24291152;1,555548642;1,248086917;0,624110642
'150;Campania;OMI;3,324865605;2,331623332;2,538615449;2,809962818
'160;Puglia;OMI;1,233173806;0,90912609;0,884370194;1,129331123
'170;Basilicata;OMI;1,172975319;1,00786809;0,843580019;0,845781117
'180;Calabria;OMI;3,830268372;3,637556827;3,297965979;3,095543192
'190;Sicilia;OMI;1,397715713;1,415711385;1,315517637;1,512958088
'200;Sardegna;OMI;1,761232717;1,512525679;1,206592823;1,443582973
'001;Nord-Ovest;OMI;0,959061576;0,768002363;0,83381422;0,840485097
'002;Nord-Est;OMI;0,748356843;0,66817379;0,761532776;0,612201631
'003;Centro;OMI;0,911934894;0,815339153;0,848572611;0,818395392
'004;Sud;OMI;2,398451383;1,895542543;1,881669342;2,048861737
'005;Isole;OMI;1,487660197;1,439709683;1,2884674;1,495706873
'006;Italia;OMI;1,318428729;1,10566916;1,124844144;1,153678605
