Codice;Territorio;Variable;1999;2000;2001;2002;2003;2004;2005;2006
'010;Piemonte;PERSOGLAV;51,11525943;53,92930114;55,30648955;54,28161186;63,91773617;61,59881731;58,62347395;57,12363762
'020;Valle D'Aosta;PERSOGLAV;50,80995654;52,929374;50,24475524;49,40766551;58,02770986;57,85064624;62,96581856;61,28625473
'030;Lombardia;PERSOGLAV;65,22133087;63,9293652;61,14180868;58,01169658;65,0973798;64,23324018;62,91852327;60,94059634
'070;Liguria;PERSOGLAV;47,16457663;46,65500888;48,62489537;45,68156109;59,41271256;58,44292572;55,81505744;56,80711284
'040;Trentino Alto Adige;PERSOGLAV;56,52128438;58,91774471;60,54196235;58,77349575;61,40980775;61,02395222;61,65026409;60,05891376
'021;Bolzano - Bozen;PERSOGLAV;56,8115249;57,26155444;60,35314649;59,72112342;62,07920792;61,40713095;64,34750867;62,25063413
'022;Trento;PERSOGLAV;56,11510791;61,04203671;60,75815457;57,70091784;60,72707243;60,61679956;58,72261183;57,79133272
'050;Veneto;PERSOGLAV;57,41979034;58,55187486;59,18306083;57,68023241;65,48890679;64,54810925;61,65562987;60,22053406
'060;Friuli Venezia Giulia;PERSOGLAV;39,96287388;45,13004401;49,38917976;46,9463936;54,14485875;54,56161762;57,59222834;56,78567981
'080;Emilia Romagna;PERSOGLAV;56,75924731;56,37389047;57,76686224;57,60587873;65,22672059;64,85295119;63,07269468;62,21066271
'090;Toscana;PERSOGLAV;53,22936372;54,5030277;54,55887176;51,17201911;62,18106596;59,63821306;58,7030956;58,18199518
'100;Umbria;PERSOGLAV;56,31461585;54,50099404;53,70408656;50,6482224;59,36772866;57,51958723;55,77241364;55,1911418
'110;Marche;PERSOGLAV;52,46387785;52,57139654;52,89937149;51,83053727;58,94159189;58,39486222;56,93876467;55,59989832
'120;Lazio;PERSOGLAV;50,3580956;49,20968084;46,99186656;45,99850788;59,07481419;54,9862822;57,81109506;55,92450383
'130;Abruzzo;PERSOGLAV;43,32631124;48,17284754;47,86814762;45,73826136;57,22371886;54,50400702;53,84504108;53,38250518
'140;Molise;PERSOGLAV;41,44702842;41,98040227;39,64088398;36,4091858;50,14285714;49,29538547;54,28796223;56,80350554
'150;Campania;PERSOGLAV;43,46903535;44,79665619;46,32531094;45,30652331;68,59129066;66,63887912;67,26884564;65,44027471
'160;Puglia;PERSOGLAV;47,78166874;48,88499955;49,66883053;48,04286448;57,16766804;54,44072646;49,85076247;50,33114144
'170;Basilicata;PERSOGLAV;51,7571885;49,71863621;47,57965686;46,30215827;62,70136307;57,73308958;58,48484848;59,11724608
'180;Calabria;PERSOGLAV;46,35544108;46,90290574;42,78482721;36,90414878;60,14644035;56,58314998;56,14497658;54,44569193
'190;Sicilia;PERSOGLAV;49,12381553;49,09990352;51,01120577;50,09857965;60,41695367;56,52868115;54,91801774;55,5414789
'200;Sardegna;PERSOGLAV;36,54377516;44,61606355;44,16316232;41,81973516;48,02244965;44,99241735;43,36069846;46,61841937
'001;Nord-Ovest;PERSOGLAV;60,81420009;60,34501029;58,92304509;56,2602952;64,34692406;63,1580486;61,48480597;59,75942525
'002;Nord-Est;PERSOGLAV;54,88089352;56,06351673;57,59992958;56,40442091;63,78970905;63,26455813;61,78810884;60,62237508
'003;Centro;PERSOGLAV;51,64673268;51,25282642;49,95725427;48,315473;59,96055896;56,96694411;57,79773125;56,59005532
'004;Sud;PERSOGLAV;44,97066839;46,53578744;46,84579616;44,7814418;63,25445189;60,48207711;59,77910978;58,32014882
'005;Isole;PERSOGLAV;46,73093672;48,2538678;49,73908696;48,52062334;58,08439783;54,02584755;52,37713254;53,75460107
'006;Italia;PERSOGLAV;54,31792669;54,71915544;54,48462847;52,70467496;62,65099995;60,94107095;60,19228145;58,88722519
