Codice;Territorio;Variable;2002;2003;2004;2005;2006;2007;2008
'010;Piemonte;SPEMENFAM;2252,65;2353,85;2612,73;2399,89;2610,83;2698,8;2620,4
'020;Valle D'Aosta;SPEMENFAM;2217,7;2344,84;2549,53;2597,5;2796,74;2595,4;2549,19
'030;Lombardia;SPEMENFAM;2516,63;2664,77;2800,5;2872,43;2886,37;2896,2;2929,67
'070;Liguria;SPEMENFAM;2047,89;2163,71;2251,85;2245,72;2262,59;2236,1;2316,39
'040;Trentino Alto Adige;SPEMENFAM;2242,6;2495,7;2631,46;2912,1;2760,25;2712,24;2782,97
'021;Bolzano - Bozen;SPEMENFAM;2466,95;2695,72;3092,46;3228,81;2905,74;2865,52;2984,03
'022;Trento;SPEMENFAM;2043,59;2318,25;2221,11;2628,76;2629,2;2573,42;2600,1
'050;Veneto;SPEMENFAM;2498,62;2635,11;2716,25;2736,09;2988,67;3047,42;2974,91
'060;Friuli Venezia Giulia;SPEMENFAM;2116,82;2218,35;2483,22;2378,65;2406,45;2502,56;2587,73
'080;Emilia Romagna;SPEMENFAM;2453,95;2630,85;2761,56;2778,29;2879,75;2762,26;2854,02
'090;Toscana;SPEMENFAM;2429,74;2574,83;2468,21;2565,86;2451,16;2625,73;2581,32
'100;Umbria;SPEMENFAM;2311;2380,25;2470,02;2403,43;2499,29;2707,81;2685,92
'110;Marche;SPEMENFAM;2429,26;2455,83;2431,91;2430,3;2433,09;2485,34;2521,92
'120;Lazio;SPEMENFAM;2274,19;2406,2;2314,48;2441,39;2541,49;2465,72;2530,43
'130;Abruzzo;SPEMENFAM;2012;2079,15;2161,57;2162,39;2120,56;2254,39;2306,91
'140;Molise;SPEMENFAM;1751,02;1951,54;2003,01;2121,05;2166,85;2457,95;1978,74
'150;Campania;SPEMENFAM;1743,81;1857,69;1928,25;1867,63;1979,84;2018,42;1928,8
'160;Puglia;SPEMENFAM;1854,38;1993,84;2011,68;2059,56;2110,65;2016,12;2096,77
'170;Basilicata;SPEMENFAM;1789,5;1858,21;1766,04;2023,83;1919,08;1942,24;1911,55
'180;Calabria;SPEMENFAM;1626,15;1761,34;1939,59;1906,36;1813,58;1955,32;1899,2
'190;Sicilia;SPEMENFAM;1796,1;1751,11;1677,33;1680,76;1724,81;1764,12;1741,88
'200;Sardegna;SPEMENFAM;2003,4;2205,79;2173,97;2149;2185,17;2026,95;2079,66
'001;Nord-Ovest;SPEMENFAM;2383,6;2514,29;2681,37;2663,4;2736,32;2763,28;2770,16
'002;Nord-Est;SPEMENFAM;2413,89;2572,14;2699,75;2726,62;2859,61;2844,51;2866,93
'003;Centro;SPEMENFAM;2347,88;2466,15;2391,75;2478,17;2494,53;2539,09;2557,71
'004;Sud;SPEMENFAM;1786,56;1906,64;1971,31;1970,76;2009,21;2039,64;2011,67
'005;Isole;SPEMENFAM;1846,35;1861,33;1802,03;1797,62;1839,41;1829,79;1826,94
'006;Italia;SPEMENFAM;2194,23;2313;2381,07;2397,54;2460,8;2480,07;2484,64
