Codice;Territorio;Variable;1999;2000;2001;2002;2003;2004;2005
'010;Piemonte;OSP;151,486656;138,754902;137,9612616;125,6893732;120,8104547;118,7251225;116,4320873
'020;Valle D'Aosta;OSP;141,6126683;135,1237865;127,8206508;119,0825726;114,3367538;112,0257403;111,7700915
'030;Lombardia;OSP;180,2882334;174,6015268;175,5291671;167,9059931;154,9586305;150,5598102;148,0877921
'070;Liguria;OSP;186,6755398;185,1587763;183,0459301;166,7410837;127,051365;127,4964248;143,0689008
'040;Trentino Alto Adige;OSP;192,9767817;183,7895937;174,6855105;160,5098937;150,0607175;142,6386251;145,8784605
'021;Bolzano - Bozen;OSP;218,5110131;204,1163397;198,6653799;193,6607042;184,7316164;176,17334;167,3597529
'022;Trento;OSP;168,0724794;164,0042463;151,3950754;;116,6361734;;125,2629937
'050;Veneto;OSP;164,9221174;155,9304507;152,2483563;143,7290874;135,8479712;131,1413681;128,7758139
'060;Friuli Venezia Giulia;OSP;159,4921833;151,4206921;143,4371275;137,657982;125,7381971;112,7210605;111,9836088
'080;Emilia Romagna;OSP;176,9201202;166,5265156;160,9894123;159,9431847;155,3286591;151,2015285;153,0659943
'090;Toscana;OSP;161,2486748;157,1972606;152,7078695;147,3743316;132,0620634;130,9111516;125,9340875
'100;Umbria;OSP;180,290064;172,8949522;158,3608169;151,8194948;138,7275952;140,2329287;132,7170932
'110;Marche;OSP;176,4602987;168,7744101;163,2452399;150,5898386;134,0122592;139,4572774;134,2175733
'120;Lazio;OSP;178,8259097;174,5985461;174,8137157;170,8534057;162,048988;162,2306437;157,9182487
'130;Abruzzo;OSP;196,7678855;190,0267757;185,363511;193,6180005;172,9225768;146,5792552;188,0849074
'140;Molise;OSP;190,3706314;195,1027947;202,4223636;192,6692169;180,1339258;184,9421269;188,0938307
'150;Campania;OSP;162,9252187;156,1259335;157,0804957;150,4670683;132,5017189;129,801541;137,5315795
'160;Puglia;OSP;199,8724641;196,6996791;193,2717126;184,6236015;168,824668;159,7771507;158,7469294
'170;Basilicata;OSP;160,274657;153,2894978;148,1929563;137,4742629;103,8882714;104,7249122;104,0808579
'180;Calabria;OSP;173,285541;165,4867425;167,3009635;160,5012677;141,8477977;138,3368577;136,3600464
'190;Sicilia;OSP;167,7747481;154,7465952;170,2917123;176,6313708;159,1573499;149,9719009;142,9798711
'200;Sardegna;OSP;151,7903632;154,7694516;149,577939;157,7831449;154,9256493;155,2435542;149,5198185
'001;Nord-Ovest;OSP;172,4877375;165,2577269;165,3302062;155,4965942;142,1293696;138,9357927;138,4215189
'002;Nord-Est;OSP;171,2762029;161,85277;156,5231006;150,6144338;143,2914512;137,6731094;137,6043423
'003;Centro;OSP;172,9834307;168,108789;164,9254867;159,1523212;146,8748364;147,4434218;142,5591263
'004;Sud;OSP;178,6789729;173,0482835;172,2423806;166,118221;147,8925365;141,4140458;147,9084747
'005;Isole;OSP;163,8254659;154,7522439;165,1708229;171,966532;158,1100535;151,2762584;144,6009912
'006;Italia;OSP;172,8690225;165,8582081;165,2825374;159,7744306;146,4957413;142,3438741;142,0468868
