"","Codice","Territorio","UNEM","POP","INCAVG","IMP","EXP","EXPCAP","IMPCAP"
"1","'010","Piemonte",5.252606613,4330172,17698,22923837.17,31257383.66,7.21850856270836,5.29397843087988
"2","'020","Valle D'Aosta",2.997983928,122868,18317,421533.076,474812.327,3.86440999283784,3.43077999153563
"3","'030","Lombardia",4.046115376,9393092,19355,105813252.6,79202295.81,8.43197275295504,11.2650075821678
"4","'040","Trentino-Alto Adige",2.91746785,974613,16884,4740200.037,4976900.853,5.10654059919168,4.86367413219401
"5","'050","Veneto",4.237752131,4699950,16265,31471510.82,40206811.16,8.55473168012426,6.6961373674188
"6","'060","Friuli Venezia Giulia",3.920440827,1204718,16793,5002619.042,9886081.042,8.20613707274233,4.15252286593211
"7","'070","Liguria",5.76397606,1592309,16332,7330753.608,3600567.311,2.26122399044407,4.603851141958
"8","'080","Emilia-Romagna",3.69679972,4151369,17483,20241537.09,34480558.75,8.30582845080743,4.87587036710059
"9","'090","Toscana",5.198853311,3598269,16658,15585404.18,21831316.75,6.06717195129102,4.33136160192582
"10","'100","Umbria",5.690865122,858938,15623,2134154.94,2646379.874,3.08099056509317,2.48464375775667
"11","'110","Marche",5.318376019,1518780,15146,4006046.611,8957257.314,5.89766609647217,2.63767406141772
"12","'120","Lazio",7.940968326,5269972,17728,21880817.3,11157347.35,2.11715495831856,4.15197980179022
"13","'130","Abruzzo",7.924023591,1299272,14561,3702802.763,6062594.947,4.66614761728106,2.84990576492066
"14","'140","Molise",11.34319765,321953,13963,309526.438,534507.074,1.66020218479095,0.961402558758577
"15","'150","Campania",15.63595899,5788986,15217,8165497.164,7250266.337,1.25242423059928,1.41052287291764
"16","'160","Puglia",15.47942662,4068167,13377,6220890.089,6420446.214,1.57821599113311,1.52916291022468
"17","'170","Basilicata",12.84727893,596546,12963,569796.319,1265237.549,2.12093878594442,0.955159064011828
"18","'180","Calabria",14.29161991,2009268,12685,546116.203,350730.24,0.174556226446646,0.271798586848544
"19","'190","Sicilia",17.2412677,5013081,14630,13906853.71,5547064.269,1.10651798145691,2.77411310728871
"20","'200","Sardegna",13.89544454,1650052,15932,4616250.629,2834166.235,1.71762237493121,2.79763948590711
